date,As
2015-1-24,0.00181667
2015-1-25,0.0019
2015-1-26,0.00173333
2015-1-27,0.00078333
2015-1-28,0.00475556
2015-1-29,0.00521667
2015-1-30,0.00471667
2015-1-31,0.00483333
2015-2-1,0.00508333
2015-2-2,0.00954444
2015-2-3,0.00528333
2015-2-4,0.00535
2015-2-5,0.00496667
2015-2-6,0.00511667
2015-2-7,0.00425
2015-2-8,0.00428333
2015-2-9,0.00373333
2015-2-10,0.0082
2015-2-11,0.00431667
2015-2-12,0.00438333
2015-2-13,0.0046
2015-2-14,0.00411667
2015-2-15,0.00511667
2015-2-16,0.00501667
2015-2-17,0.00235
2015-2-18,0.00112143
2015-2-19,0.00366667
2015-2-20,0.00393333
2015-2-21,0.00333333
2015-2-22,0.00185
2015-2-23,0.00115
2015-2-24,0.00144375
2015-2-25,0.00375556
2015-2-26,0.00405
2015-2-27,0.0045
2015-2-28,0.00336667
2015-3-1,0.003
2015-3-2,0.01734167
2015-3-3,0.0036
2015-3-4,0.00336667
2015-3-5,0.00295
2015-3-6,0.01261111
2015-3-7,0.0018
2015-3-8,0.00208333
2015-3-9,0.00213333
2015-3-10,0.00208333
2015-4-16,0.00115
2015-4-17,0.00095
2015-4-18,0.00063333
2015-4-19,0.0005625
2015-4-20,0.000675
2015-4-21,0.00364545
2015-4-22,0.00178333
2015-4-23,0.00156667
2015-4-24,0.00156667
2015-4-25,0.00353333
2015-4-26,0.00393333
2015-4-27,0.00406667
2015-4-28,0.01286667
2015-4-29,0.00153333
2015-4-30,0.00148333
2015-5-1,0.00143333
2015-5-2,0.00131667
2015-5-3,0.00141667
2015-5-4,0.00287
2015-5-5,0.00146667
2015-5-6,0.00161667
2015-5-7,0.00158333
2015-5-8,0.00158333
2015-5-9,0.00161667
2015-5-10,0.00166667
2015-5-11,0.00606667
2015-5-12,0.00203333
2015-5-13,0.00223333
2015-5-14,0.002
2015-5-15,0.00286667
2015-5-16,0.003
2015-5-19,0.00595
2015-5-20,0.00575
2015-5-21,0.00998333
2015-5-22,0.00446667
2015-5-23,0.00358333
2015-5-24,0.00318333
2015-5-25,0.00584444
2015-5-26,0.00286667
2015-5-27,0.00263333
2015-5-28,0.00188333
2015-5-29,0.01168333
2015-5-30,0.00221667
2015-5-31,0.00201667
2015-6-1,0.00195
2015-6-2,0.0019375
2015-6-3,0.00167143
2015-6-4,0.0017
2015-6-5,0.00106667
2015-6-6,0.00131667
2015-6-7,0.00203333
2015-6-8,0.0053
2015-6-9,0.00436364
2015-6-10,0.00153333
2015-6-11,0.0085
2015-6-12,0.00955556
2015-6-13,0.00183333
